fw	class	nMethods	nPorted
Flexo	FFCaptionTextBlockController	63	0
Flexo	FFPhotosImportTask	63	0
Flexo	FFNamingPreset	63	0
Flexo	FFOrganizerAbstractChunk	63	0
Flexo	FFThumbnailRequest	63	0
Flexo	FFThemeInfo	63	0
Flexo	FFFontSettingsTool	63	0
Ozone	OZ3DEngineSceneFile	62	0
Ozone	OZShapeBehavior	62	0
Ozone	OZInspectorModule	62	0
Flexo	FFAudioComponentsLayoutMap	62	0
Flexo	FFConsumerOrganizerFilmstripModule	62	0
Flexo	FFBackgroundTask	62	0
Flexo	FFDestVideo	62	0
Flexo	FFVideoEffectTool	62	0
Flexo	FFBackgroundShareOperation	62	0
Ozone	OZAudioTrack	61	0
Ozone	OZTimebarViewBase	61	0
Flexo	MicaTextGroup	61	0
Flexo	FFOrganizerFilmstripViewConsumer	61	0
Flexo	FFAudioRecorder	60	0
Flexo	FFUpdateDupesOperation	60	0
Flexo	FFEffectLibraryItemView	60	0
Flexo	FFImportOrganizerFilmListViewController	60	0
Flexo	FFOutlineViewLayout	60	0
Flexo	FFCaptionExportFileSelector	59	0
Flexo	FFMediaEventKeyword	59	0
Flexo	FFRelinkPanelController	59	0
Flexo	FFRetimeEditorLayer	59	0
Flexo	FFResponderLayer	59	0
Flexo	FFAudioEnhancementTool	59	0
Flexo	FFShareVideoPreviewViewController	59	0
Helium	HGComicImplementation	59	0
Flexo	FFBalanceColorBaseEffect	58	0
Flexo	FFMediaRef	58	0
Flexo	FFNoiseReduction	58	0
Flexo	FFMediaAnalyzerAndOptimizer	58	0
Flexo	FFResponderLayerHostView	58	0
Ozone	OZ3DEngineSceneElement	57	0
Flexo	FFWorkspace	57	0
Flexo	FFMDAbstractLibraryCell	57	0
Ozone	OZViewerState	56	0
Ozone	OZFxPlugOnscreenControl	56	0
Flexo	FFScopedEffect	56	0
Flexo	FFPentaSliderThumbCell	56	0
Flexo	FFMediaEventProjectData	56	0
Flexo	FFComparePickerView	56	0
Flexo	FFDataListTagsViewController	56	0
Flexo	FFThumbnailRequestManager	56	0
Flexo	FFConsumerGeneratorTool	56	0
Flexo	FFTrailerClipTrimmer	56	0
ProChannel	OZChannelBlindData	55	0
ProCore	PCMatrix44Double	55	0
Ozone	OZMaterialPaintLayer	55	0
Flexo	FFRollingShutterEffect	55	0
Flexo	FFPXMediaReader	55	0
Flexo	FFCPSProjectEditVC	55	0
Flexo	FFImportOrganizerFilmstripModule	55	0
Flexo	FFDestQTExporter	55	0
Flexo	FFResponderAccessoryLayer	55	0
Helium	HGColorConform	55	0
ProChannel	OZChannelObjectRootBase	54	0
Ozone	OZLayeredMaterial	54	0
Ozone	OZOpticalFlow::Private::AnalyzerImpl	54	0
Ozone	OZRigBehavior	54	0
Ozone	TMCollection	54	0
Ozone	OZSegmentationMaskOSC	54	0
Ozone	OZFxPlugPathHandler	54	0
Flexo	FFBinObject	54	0
Flexo	FFCatalog	54	0
Flexo	FFUndoHandler	54	0
Flexo	FFPencilEffect	54	0
Flexo	FFAudioComponentsConfigViewModule	54	0
Flexo	FFOrganizerUtils	54	0
Flexo	FFProviderCG	54	0
Flexo	FFTool	54	0
Ozone	OZMaterialBase	53	0
Ozone	OZSingleChannelBehavior	53	0
Ozone	OZMetalLayerView	53	0
Ozone	OZDragManager	53	0
Ozone	OZAudioListModule	53	0
Flexo	FFIntrinsicColorConformEffect	53	0
Flexo	FFQCIMEffect	53	0
Flexo	FFQCSportsEffect	53	0
Flexo	FFInspectorRootViewController	53	0
Flexo	FFSearchHeaderSearchField	53	0
Flexo	FFPasteEffectsWindowController	53	0
Flexo	FFVTRAWSettingsHud	53	0
Flexo	FFTransform2DOSC	53	0
Flexo	FFDestVideoCMIO	53	0
Ozone	OZMaterialSpecularLayer	52	0
Ozone	OZPublishSettings	52	0
Ozone	OZToolbarModule	52	0
Flexo	FFMXFMediaReader	52	0
Flexo	FFPasteAttributesOperation	52	0
Flexo	FFDataListLanesOutlineViewController	52	0
Flexo	FFToolManager	52	0
Flexo	FFSegmentStoreManager	52	0
Flexo	FFBackgroundRenderManager	52	0
Flexo	FFSubRangeMD5Info	52	0
Flexo	MXFPictureMediaDecode	52	0
ProCore	PCICCProfile	51	0
Ozone	OZChannelObjectRoot	51	0
Ozone	OZVelocityView	51	0
Ozone	OZProjectPropertiesCtlr	51	0
Flexo	ProResRaw::PluginSettingsController	51	0
Flexo	FFAVFMediaReader	51	0
Flexo	FFInnerOuterCorrectionEffectBasicClass	51	0
Flexo	FFImprovedEllipseMask	51	0
Flexo	FFSequenceSettingsExporter	51	0
Flexo	FFMXFWriter	51	0
Ozone	OZTimelineRow	50	0
Ozone	OZMoViewCtlrDelegate	50	0
Flexo	FFProStoryTimelinePresentation	50	0
Flexo	FFIMovieIOSv5EditTransformer	50	0
Flexo	FFImportDevicesSidebarCollection	50	0
Flexo	FFProviderFig	50	0
ProCore	PCChangeLog	49	0
Flexo	FFAnchoredClip	49	0
Flexo	FFAnchoredTimeMarker	49	0
Flexo	FFInspectorFileInfoMediaRepsInfoTile	49	0
Flexo	FFMDEventLibraryModule	49	0
ProChannel	OZChannelDoubleOverRange	48	0
ProChannel	OZChannelAngleOverRange	48	0
ProChannel	OZChannelPercentOverRange	48	0
Ozone	OZAudioTrackBase	48	0
Ozone	OZCacheManager	48	0
Flexo	FFCaptionMultipleSelectionController	48	0
Flexo	FFAnchoredGeneratorComponent	48	0
Flexo	FFLibraryTaskOptionsView	48	0
Flexo	FFStorageManager	48	0
Flexo	FFMIORADAsset	48	0
Flexo	MicaTitleAnimator	48	0
Flexo	FFImportTapeDevice	48	0
Flexo	FFTitleOSC	48	0
Flexo	FFTimelineNUpDisplayController	48	0
